experiment,experiment_description,metric_focus,scenario,dataset,partition,dirichlet_alpha,model,train_size,test_size,num_clients,malicious_clients,global_rounds,local_epochs,attack,attack_scale,poison_fraction,trigger_pattern,trigger_position,public_source,public_fraction,method,clean_acc,clean_loss,asr,runtime_sec,history_storage_mb,clean_acc_delta_vs_poisoned,asr_drop_vs_poisoned,clean_acc_gap_to_retrain,asr_gap_to_retrain
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Poisoned,1.0,0.00011675704394777616,1.0,64.75811249998515,,0.0,0.0,0.0,1.0
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,RetrainClean,1.0,0.00010497923071185748,0.0,39.03067259999807,484.6160888671875,0.0,1.0,0.0,0.0
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedRecover,1.0,0.00011306080718835194,0.0,30.740818099991884,484.6160888671875,0.0,1.0,0.0,0.0
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Crab,1.0,0.0008149028917153676,0.0,21.659436199988704,484.6160888671875,0.0,1.0,0.0,0.0
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedUP,1.0,0.0,0.0,6.60015939999721,484.6160888671875,0.0,1.0,0.0,0.0
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedSweep,1.0,0.00017105857531229656,0.2233651726671565,4.126262100005988,484.6160888671875,0.0,0.7766348273328435,0.0,0.2233651726671565
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,UnlearningBackdoor,1.0,0.0001336063308020433,0.0,0.24972329998854548,484.6160888671875,0.0,1.0,0.0,0.0
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FAST,1.0,0.0012330512007077536,0.0,0.41194479999830946,484.6160888671875,0.0,1.0,0.0,0.0
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",synthetic_dirichlet_alpha05_backdoor_square,synthetic,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,MCCFed,1.0,0.0005141603052616119,0.0,8.344178100000136,484.6160888671875,0.0,1.0,0.0,0.0
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Poisoned,0.9713333333333334,0.08046312395731609,0.9992695398100804,142.93602300001658,,0.0,0.0,0.0,0.9970781592403214
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,RetrainClean,0.9713333333333334,0.08799312210083007,0.002191380569758948,103.3400554000109,484.6160888671875,0.0,0.9970781592403214,0.0,0.0
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedRecover,0.9706666666666667,0.08533421897888184,0.0007304601899196494,66.99501129999408,484.6160888671875,-0.0006666666666667043,0.9985390796201608,0.0006666666666667043,0.0014609203798392986
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Crab,0.96,0.133381046295166,0.003652300949598247,82.9513949000102,484.6160888671875,-0.011333333333333417,0.9956172388604821,0.011333333333333417,0.001460920379839299
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedUP,0.9626666666666667,0.12949294153849283,0.014609203798392988,16.22037470000214,484.6160888671875,-0.008666666666666711,0.9846603360116873,0.008666666666666711,0.01241782322863404
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedSweep,0.9573333333333334,0.1346025619506836,0.008765522279035792,5.0916701999958605,484.6160888671875,-0.014000000000000012,0.9905040175310446,0.014000000000000012,0.006574141709276844
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,UnlearningBackdoor,0.9686666666666667,0.0988269157409668,0.0007304601899196494,0.7842622000025585,484.6160888671875,-0.002666666666666706,0.9985390796201608,0.002666666666666706,0.0014609203798392986
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FAST,0.9713333333333334,0.09173144022623698,0.018991964937910884,1.7187496999977157,484.6160888671875,0.0,0.9802775748721695,0.0,0.016800584368151936
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,MCCFed,0.9646666666666667,0.10630150349934896,0.003652300949598247,12.900587999989511,484.6160888671875,-0.00666666666666671,0.9956172388604821,0.00666666666666671,0.001460920379839299
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",fmnist_dirichlet_alpha05_backdoor_square,fmnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Poisoned,0.8326666666666667,0.43276353454589844,0.8783185840707964,138.68986260000383,,0.0,0.0,0.0013333333333332975,0.8746312684365781
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",fmnist_dirichlet_alpha05_backdoor_square,fmnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,RetrainClean,0.834,0.4492627563476562,0.003687315634218289,107.85614109999733,484.6160888671875,0.0013333333333332975,0.8746312684365781,0.0,0.0
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",fmnist_dirichlet_alpha05_backdoor_square,fmnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedRecover,0.844,0.4290924275716146,0.0014749262536873156,67.95611079997616,484.6160888671875,0.011333333333333306,0.8768436578171092,0.010000000000000009,0.0022123893805309734
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",fmnist_dirichlet_alpha05_backdoor_square,fmnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Crab,0.782,0.5514338785807291,0.07817109144542773,79.24865520000458,484.6160888671875,-0.05066666666666664,0.8001474926253687,0.051999999999999935,0.07448377581120945
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",fmnist_dirichlet_alpha05_backdoor_square,fmnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedUP,0.8153333333333334,0.4828641357421875,0.012536873156342183,16.434278800006723,484.6160888671875,-0.01733333333333331,0.8657817109144542,0.01866666666666661,0.008849557522123894
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",fmnist_dirichlet_alpha05_backdoor_square,fmnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedSweep,0.8186666666666667,0.4937495625813802,0.05457227138643068,5.01573479999206,484.6160888671875,-0.014000000000000012,0.8237463126843657,0.01533333333333331,0.050884955752212385
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",fmnist_dirichlet_alpha05_backdoor_square,fmnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,UnlearningBackdoor,0.81,0.47950671895345054,0.008849557522123894,0.7531770000059623,484.6160888671875,-0.022666666666666613,0.8694690265486725,0.02399999999999991,0.005162241887905605
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",fmnist_dirichlet_alpha05_backdoor_square,fmnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FAST,0.8366666666666667,0.41902356974283855,0.806047197640118,1.0083029999805149,484.6160888671875,0.0040000000000000036,0.07227138643067843,0.002666666666666706,0.8023598820058997
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",fmnist_dirichlet_alpha05_backdoor_square,fmnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,MCCFed,0.8286666666666667,0.46191129048665364,0.7964601769911505,17.972363100008806,484.6160888671875,-0.0040000000000000036,0.08185840707964598,0.005333333333333301,0.7927728613569321
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",cifar10_dirichlet_alpha05_backdoor_square,cifar10,dirichlet,0.5,smallcnn,12000,3000,20,4,40,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Poisoned,0.49933333333333335,1.4767972005208334,0.8937592867756315,85.94635949999793,,0.0,0.0,0.002666666666666706,0.837295690936107
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",cifar10_dirichlet_alpha05_backdoor_square,cifar10,dirichlet,0.5,smallcnn,12000,3000,20,4,40,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,RetrainClean,0.49666666666666665,1.4433109741210937,0.05646359583952452,56.91583929999615,417.706298828125,-0.002666666666666706,0.837295690936107,0.0,0.0
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",cifar10_dirichlet_alpha05_backdoor_square,cifar10,dirichlet,0.5,smallcnn,12000,3000,20,4,40,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedRecover,0.48,1.5111451009114583,0.0512630014858841,53.98018549999688,417.706298828125,-0.01933333333333337,0.8424962852897474,0.016666666666666663,0.005200594353640418
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",cifar10_dirichlet_alpha05_backdoor_square,cifar10,dirichlet,0.5,smallcnn,12000,3000,20,4,40,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Crab,0.4046666666666667,1.7376278483072916,0.0512630014858841,50.53752130002249,417.706298828125,-0.09466666666666668,0.8424962852897474,0.09199999999999997,0.005200594353640418
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",cifar10_dirichlet_alpha05_backdoor_square,cifar10,dirichlet,0.5,smallcnn,12000,3000,20,4,40,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedUP,0.414,1.6327884114583333,0.12035661218424963,9.66449460000149,417.706298828125,-0.08533333333333337,0.7734026745913819,0.08266666666666667,0.0638930163447251
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",cifar10_dirichlet_alpha05_backdoor_square,cifar10,dirichlet,0.5,smallcnn,12000,3000,20,4,40,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedSweep,0.4746666666666667,1.521294230143229,0.14190193164933135,5.782663700025296,417.706298828125,-0.02466666666666667,0.7518573551263001,0.021999999999999964,0.08543833580980684
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",cifar10_dirichlet_alpha05_backdoor_square,cifar10,dirichlet,0.5,smallcnn,12000,3000,20,4,40,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,UnlearningBackdoor,0.43466666666666665,1.6319876505533855,0.04309063893016345,0.7143029999861028,417.706298828125,-0.0646666666666667,0.8506686478454681,0.062,0.013372956909361071
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",cifar10_dirichlet_alpha05_backdoor_square,cifar10,dirichlet,0.5,smallcnn,12000,3000,20,4,40,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FAST,0.49,1.4762753702799478,0.7726597325408618,1.124141000007512,417.706298828125,-0.00933333333333336,0.1210995542347697,0.006666666666666654,0.7161961367013373
efficiency,Runtime and storage-cost comparison on representative settings.,"runtime_sec, history_storage_mb, method-specific storage fields",cifar10_dirichlet_alpha05_backdoor_square,cifar10,dirichlet,0.5,smallcnn,12000,3000,20,4,40,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,MCCFed,0.4026666666666667,1.6226223347981772,0.4086181277860327,10.627295199985383,417.706298828125,-0.09666666666666668,0.48514115898959886,0.09399999999999997,0.35215453194650814
